,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2009-06-04 20:00:00+00:00,-937,,2009-06-04 20:00:00+00:00,59f82d212c40471b9a6a70ff6b08fd61,10.03,Future(8101 [DAM09]),Future(8101 [DAM09]),18796219.999999996
2009-06-05 20:00:00+00:00,72,,2009-06-05 20:00:00+00:00,5bd7161881ee4a8c9305fc3e5dad0443,1294.4,Future(8119 [PLN09]),Future(8119 [PLN09]),-4659840.0
2009-06-08 20:00:00+00:00,-546,,2009-06-08 20:00:00+00:00,90b1f6bd34b740a8ab3b033aff2d1ec7,10165.0,Future(8073 [JYM09]),Future(8073 [JYM09]),69376125.0
2009-06-08 20:00:00+00:00,-250,,2009-06-08 20:00:00+00:00,da83b99a33404e15b354b851fd21970f,0.894,Future(8078 [CDM09]),Future(8078 [CDM09]),22350000.0
2009-06-08 20:00:00+00:00,-1224,,2009-06-08 20:00:00+00:00,0db6853e5e1242c1b27ccb22e5fee847,107.507,Future(8206 [TUU09]),Future(8206 [TUU09]),263177136.0
2009-06-09 20:00:00+00:00,-197,,2009-06-09 20:00:00+00:00,12ddab00e8e1485ea13f558dcda25a44,31950.0,Future(8069 [RUM09]),Future(8069 [RUM09]),15735375.0
2009-06-09 20:00:00+00:00,-436,,2009-06-09 20:00:00+00:00,7b1aaa8568ab43769be2e295976bdf82,0.927,Future(8075 [SFM09]),Future(8075 [SFM09]),50521500.0
2009-06-10 20:00:00+00:00,73,,2009-06-10 20:00:00+00:00,13a267ec468841f5b5c72029146da0a6,2.361,Future(8117 [HGN09]),Future(8117 [HGN09]),-4308825.0
2009-06-11 20:00:00+00:00,-2875,,2009-06-11 20:00:00+00:00,9b80fa75f91a4083873fcacabb879ac8,99.18,Future(8149 [EDU09]),Future(8149 [EDU09]),712856250.0
2009-06-15 20:00:00+00:00,-220,,2009-06-15 20:00:00+00:00,de2c80f9e4fc47ee8ceb619a82c408bd,0.793,Future(8065 [ADM09]),Future(8065 [ADM09]),17446000.0
2009-06-15 20:00:00+00:00,-61,,2009-06-15 20:00:00+00:00,a645c4941c9e45c8b74905a69bd093a3,1.399,Future(8070 [ECM09]),Future(8070 [ECM09]),10667375.0
